course_code,description,enrollment_requirements,crse_id,class_nbr,term
AAS 1010,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century.",,000083,10467,1268
AAS 1020,"This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora.",,000084,10358,1262
AAS 1559,New course in the subject of African American Studies.,,038530,,
AAS 2000,"This course addresses how, why and when to conduct a variety of research types including archival methods and historiography, ethnographic, quantitative and critical analysis as a means to study topics related to Black communities and individuals. Considerable attention is given to strategies for engaging in and presenting research, both written and oral. Ethical issues associated with conducting research are addressed in depth.",,048335,,
AAS 2210,"This course is a survey of literary texts in English by contemporary African writers. Students will read a variety of texts including novels, short stories, poetry, film and songs and critically analyze the cultural and aesthetics of the literary landscape. Particular attention will be on how authors engage themes such as identity, patriarchy, gender, class, and politics in post-colonial structures.",,047896,20197,1268
AAS 2215,"Black Genders provides an introduction to African American and African Studies with a specific emphasis on how gender and sexuality inform the ways Blackness is studied, narrated, and experienced throughout the African diaspora.",,048341,,
AAS 2220,"Students will be introduced to the evidence and debates surrounding the claims that racialized and poor communities disproportionately shoulder society&#39;s environmental burdens. Through a variety of analytical and contextual lenses, we examine fundamental environmental problems faced by individuals and communities of color and the policies and initiatives designed to address them.",,047899,14213,1268
AAS 2224,"This course, taught as a lower-level seminar, will address the role the media has played in creating images and understandings of 'Blackness' in the United States, particularly where it converges with popular ideologies about gender.",,042659,,
AAS 2225,"How do media representations shape our perceptions and lived experiences of Black love? In this course, we will examine media portrayals of Black love alongside theoretical readings about the historical, social, and cultural elements that impact the development of Black relationships. In addition to exploring examples of Black romantic relationships, we will also explore Black love in the context of family, friendships, and community.",,047911,,
AAS 2230,"This course examines the experiences of African migrants and refugees through the lens of race, ethnicity, and migration. Through an engagement with the International Rescue Committee in Charlottesville and migrants in the area as well as literary and other written sources, notions of displacement, migration, genocide, ethnic and racial formation among other factors that are important in understanding international migration.",,047897,,
